#,Company / Naam,Sector,City,WhatsApp / Phone,Msg Sent (date),Replied? (Y/N),Sample Sent? (Y/N),Quote Sent? (Y/N),Status,Next Follow-up (date),Notes
EXAMPLE,ABC Rice Mills,Rice exporter,Karachi,+92 3XX XXXXXXX,11-Jun,Y,N,N,Replied,13-Jun,Wants 2g sachets for 5kg bags
1,,,,,,,,,New,,
2,,,,,,,,,New,,
3,,,,,,,,,New,,
4,,,,,,,,,New,,
5,,,,,,,,,New,,
6,,,,,,,,,New,,
7,,,,,,,,,New,,
8,,,,,,,,,New,,
9,,,,,,,,,New,,
10,,,,,,,,,New,,
11,,,,,,,,,New,,
12,,,,,,,,,New,,
13,,,,,,,,,New,,
14,,,,,,,,,New,,
15,,,,,,,,,New,,
16,,,,,,,,,New,,
17,,,,,,,,,New,,
18,,,,,,,,,New,,
19,,,,,,,,,New,,
20,,,,,,,,,New,,
